ts,device_id,device_name,device_ip,device_mac,recentDeviceMac,ssid,ap_name,application_num,destination_num,sent_sum,sent_avg,recv_sum,recv_avg,flows_sum,flows_avg,protocol_num,port_num,activeSeconds_sum,activeSeconds_avg,label
2020-04-09T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,2,3,16782,3356.4,57,11.4,75,15,2,4,73380,14676,0
2020-04-10T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,2,3,38046,7609.2,166,33.2,231,46.2,2,4,168360,33672,0
2020-04-11T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,2,3,37810,7562,131,26.2,193,38.6,2,4,164340,32868,0
2020-04-12T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,2,3,38753,6458.833333,164,27.33333333,213,35.5,2,5,170160,28360,0
2020-04-13T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,2,3,37812,6302,140,23.33333333,138,23,2,5,164640,27440,0
2020-04-14T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,2,3,38033,7606.6,174,34.8,180,36,2,5,164520,32904,0
2020-04-15T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,2,3,38373,7674.6,194,38.8,224,44.8,2,5,164580,32916,0
2020-04-16T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,2,3,38516,6419.333333,167,27.83333333,217,36.16666667,2,5,167760,27960,0
2020-04-17T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,2,3,38183,7636.6,132,26.4,219,43.8,2,5,164160,32832,0
2020-04-18T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,3,4,38324,5474.857143,149,21.28571429,202,28.85714286,3,6,162900,23271.42857,0
2020-04-19T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,3,4,38148,6358,128,21.33333333,199,33.16666667,3,6,162960,27160,0
2020-04-20T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,34:56:fe:dd:49:5c,,,3,4,38153,6358.833333,108,18,200,33.33333333,3,6,163080,27180,0
